"outcome","patient_char","bin","mkt","mean","sd","l_95","u_95"
"ch_peri","ci_scorent","90",11,0.0412086877574906,0.0045569775423266,0.0322770117745304,0.0501403637404507
"ch_peri","ci_scorent","100",2,0.387861505726332,0.00752092279532538,0.373120497047494,0.40260251440517
"ch_peri","ci_scorent","100",4,0.409642846074837,0.00758029301451611,0.394785471766385,0.424500220383288
"ch_peri","ci_scorent","100",5,0.473688868178703,0.0081013567058495,0.457810209035238,0.489567527322168
"ch_peri","ci_scorent","100",7,0.177124425861914,0.0152070343013758,0.147318638631218,0.206930213092611
"ch_peri","ci_scorent","100",8,0.219435875687908,0.0090112776570911,0.201773771480009,0.237097979895806
"ch_peri","ci_scorent","100",10,0.0745426439505618,0.00708073494707767,0.0606644034542896,0.0884208844468341
"ch_peri","ci_scorent","100",11,0.148449208040461,0.00921452214422568,0.130388744637778,0.166509671443143
"ch_peri","obgyn_10kwra","10",2,0.0247987618212069,0.00509531416903344,0.0148119460499014,0.0347855775925124
"ch_peri","obgyn_10kwra","10",4,0.107819748715122,0.0115934662206167,0.0850965549227128,0.13054294250753
"ch_peri","obgyn_10kwra","10",5,0.399146804460652,0.00441857756329795,0.390486392436588,0.407807216484716
"ch_peri","obgyn_10kwra","10",7,0.139536290468648,0.0219266600043542,0.0965600368601137,0.182512544077182
"ch_peri","obgyn_10kwra","10",8,0.219993695805818,0.00767728699030736,0.204946213304815,0.23504117830682
"ch_peri","obgyn_10kwra","10",10,0.0483451101962584,0.00542788893939695,0.0377064478750404,0.0589837725174764
"ch_peri","obgyn_10kwra","10",11,0.0232226895803483,0.00782906864010468,0.00787771504574312,0.0385676641149535
"ch_peri","obgyn_10kwra","25",2,0.102695756773587,0.00428292722415812,0.0943012194142371,0.111090294132937
"ch_peri","obgyn_10kwra","25",4,0.114902909846361,0.00387791172373411,0.107302202867842,0.122503616824879
"ch_peri","obgyn_10kwra","25",5,0.338389445309509,0.00465008916775102,0.329275270540717,0.347503620078301
"ch_peri","obgyn_10kwra","25",7,0.121499130516827,0.0142745913726412,0.0935209314264503,0.149477329607204
"ch_peri","obgyn_10kwra","25",8,0.233761096718845,0.00659175755867784,0.220841251903837,0.246680941533854
"ch_peri","obgyn_10kwra","25",10,0.134980758964194,0.0170265884852411,0.101608645533122,0.168352872395266
"ch_peri","obgyn_10kwra","25",11,0.0142637440664821,0.00541839384455396,0.00364369213115628,0.0248837960018078
"ch_peri","obgyn_10kwra","50",2,0.127016515712446,0.0032666516881613,0.120613878403649,0.133419153021242
"ch_peri","obgyn_10kwra","50",4,0.180506521191183,0.00358919264988017,0.173471703597418,0.187541338784948
"ch_peri","obgyn_10kwra","50",5,0.195259321750717,0.00276629935103164,0.189837375022695,0.200681268478739
"ch_peri","obgyn_10kwra","50",7,0.0824292858661067,0.00733254313661084,0.0680575013183494,0.0968010704138639
"ch_peri","obgyn_10kwra","50",8,0.229674768274857,0.0038015287140722,0.222223771995275,0.237125764554438
"ch_peri","obgyn_10kwra","50",10,0.0694679392571204,0.00278651435352946,0.0640063711242027,0.0749295073900381
"ch_peri","obgyn_10kwra","50",11,0.00719928991152072,0.00442737868693216,-0.00147837231486631,0.0158769521379078
"ch_peri","obgyn_10kwra","75",2,0.138590469425127,0.00331140651162395,0.132100112662344,0.14508082618791
"ch_peri","obgyn_10kwra","75",4,0.145398467391236,0.00435910925305729,0.136854613255244,0.153942321527228
"ch_peri","obgyn_10kwra","75",5,0.0955573621253302,0.00517641082273817,0.0854115969127634,0.105703127337897
"ch_peri","obgyn_10kwra","75",7,0.0559126818211275,0.0067086746099785,0.0427636795855696,0.0690616840566853
